fecha;lugar_fallecimiento;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles
2020-04-19;Residencia;465;995
2020-04-22;Residencia;518;996
2020-04-24;Hospital;588;60
2020-04-24;Residencia;542;996
2020-04-25;Residencia;555;1007
2020-04-26;Hospital;613;61
2020-04-26;Residencia;567;1008
2020-04-27;Hospital;627;65
2020-04-28;Hospital;641;65
2020-04-30;Hospital;662;67
2020-04-30;Residencia;600;1008
2020-05-01;Residencia;601;1008
2020-05-03;Residencia;618;1011
2020-05-04;Hospital;698;73
2020-05-06;Residencia;637;1018
2020-05-07;Hospital;723;73
2020-05-08;Hospital;730;74
2020-05-09;Hospital;734;74
2020-05-11;Residencia;659;1019
2020-05-12;Hospital;746;72
2020-05-12;Residencia;663;1020
2020-05-15;Hospital;754;73
2020-05-16;Hospital;754;73
2020-05-19;Hospital;761;73
2020-05-19;Residencia;673;1026
2020-05-21;Residencia;677;1027
2020-05-22;Residencia;678;1027
2020-05-23;Hospital;771;73
2020-05-24;Hospital;772;73
2020-05-25;Residencia;684;1028
2020-05-26;Residencia;684;1028
2020-05-29;Residencia;688;1028
2020-06-02;Residencia;691;1028
2020-06-11;Hospital;787;76
2020-06-12;Residencia;696;1028
2020-04-17;Hospital;495;60
2020-04-17;Residencia;410;991
2020-04-19;Hospital;515;57
2020-04-20;Hospital;515;57
2020-04-20;Residencia;465;995
2020-04-21;Hospital;544;61
2020-04-21;Residencia;493;991
2020-04-22;Hospital;555;62
2020-05-02;Residencia;613;1011
2020-05-04;Residencia;626;1013
2020-05-05;Hospital;706;73
2020-05-05;Residencia;631;1016
2020-05-07;Residencia;640;1019
2020-05-08;Residencia;645;1024
2020-05-10;Hospital;735;74
2020-05-11;Hospital;741;74
2020-05-14;Hospital;752;73
2020-05-14;Residencia;668;1021
2020-05-18;Hospital;759;73
2020-05-18;Residencia;673;1025
2020-05-20;Hospital;766;73
2020-05-20;Residencia;676;1025
2020-05-25;Hospital;773;73
2020-05-27;Residencia;686;1028
2020-05-28;Hospital;777;73
2020-05-28;Residencia;688;1028
2020-05-29;Hospital;778;74
2020-06-01;Hospital;779;74
2020-06-02;Hospital;782;75
2020-06-03;Hospital;783;75
2020-06-03;Residencia;693;1028
2020-06-05;Hospital;786;76
2020-06-05;Residencia;694;1028
2020-06-08;Residencia;695;1028
2020-06-09;Hospital;787;76
2020-06-09;Residencia;695;1028
2020-06-10;Hospital;787;76
2020-06-12;Hospital;787;76
2020-04-18;Hospital;499;60
2020-04-18;Residencia;438;992
2020-04-23;Hospital;573;61
2020-04-23;Residencia;532;999
2020-04-25;Hospital;603;61
2020-04-27;Residencia;572;1005
2020-04-28;Residencia;587;1005
2020-04-29;Hospital;651;67
2020-04-29;Residencia;597;1005
2020-05-01;Hospital;673;70
2020-05-02;Hospital;684;71
2020-05-03;Hospital;690;71
2020-05-06;Hospital;721;73
2020-05-09;Residencia;650;1022
2020-05-10;Residencia;654;1022
2020-05-13;Hospital;749;73
2020-05-13;Residencia;667;1020
2020-05-15;Residencia;668;1022
2020-05-16;Residencia;670;1022
2020-05-17;Hospital;758;73
2020-05-17;Residencia;670;1024
2020-05-21;Hospital;767;73
2020-05-22;Hospital;769;73
2020-05-23;Residencia;680;1028
2020-05-24;Residencia;682;1028
2020-05-26;Hospital;775;73
2020-05-27;Hospital;776;73
2020-06-01;Residencia;690;1028
2020-06-04;Hospital;783;76
2020-06-04;Residencia;694;1028
2020-06-08;Hospital;787;76
2020-06-10;Residencia;696;1028
2020-06-11;Residencia;696;1028
