Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;22;24,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;44;15,5;283021
DEPARTAMENT DE SALUT DE LA PLANA;78;41,7;187258
DEPARTAMENT DE SALUT DE SAGUNT;25;16,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;67;19,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;36;11,3;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;71;24,6;288530
DEPARTAMENT DE SALUT DE REQUENA;54;104,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;105;28,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;61;21,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;25;9,6;259746
DEPARTAMENT DE SALUT DE GANDIA;23;12,9;177754
DEPARTAMENT DE SALUT DE DENIA;16;9,3;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;33;17;194513
DEPARTAMENT DE SALUT D'ALCOI;104;75,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;91;49,1;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;24;10,8;222767
DEPARTAMENT DE SALUT D'ELDA;44;23,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;53;19,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;10;5,9;169314
DEPARTAMENT DE SALUT D'ORIHUELA;10;5,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;42;22,6;186025
DEPARTAMENT DE SALUT DE MANISES;39;18,8;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;7;4,5;156506
